model,threshold,true_negatives,false_positives,false_negatives,true_positives,accuracy,precision,recall,f1_score,roc_auc,pr_auc
Logistic Regression,0.5,486370,67204,556,1589,0.8780678724319305,0.023098280348291252,0.7407925407925408,0.044799684231300575,0.9077013500143922,0.12058823747114263
Gradient Boosting,0.5,553411,163,468,1677,0.9988645340540813,0.9114130434782609,0.7818181818181819,0.8416562107904643,0.9971874891755522,0.890949097529613
